theme,url,img,lines,author
HOPE,/inspirational-quotes/8155-hope-sees-the-invisible-feels-the-intangible,https://assets.passiton.com/quotes/quote_artwork/8155/medium/20240113_monday_quote.jpg,"Hope sees the invisible, feels the intangible, and achieves the impossible.",<Author:0x00007f0de2dce320>
FRIENDSHIP,/inspirational-quotes/8192-anything-is-possible-when-you-have-the-right,https://assets.passiton.com/quotes/quote_artwork/8192/medium/20250110_friday_quote.jpg,Anything is possible when you have the right people there to support you.,<Author:0x00007f0de2db41c8>
FRIENDSHIP,/inspirational-quotes/8330-i-would-rather-walk-with-a-friend-in-the-dark,https://assets.passiton.com/quotes/quote_artwork/8330/medium/20250109_thursday_quote.jpg,"I would rather walk with a friend in the dark, than alone in the light.",<Author:0x00007f0de2e055a0>
FRIENDSHIP,/inspirational-quotes/4553-shared-joy-is-a-double-joy-shared-sorrow-is,https://assets.passiton.com/quotes/quote_artwork/4553/medium/20250108_wednesday_quote.jpg,Shared joy is a double joy; shared sorrow is half sorrow. ,<Author:0x00007f0de2dee828>
FRIENDSHIP,/inspirational-quotes/8036-good-friends-are-like-stars-you-dont-always,https://assets.passiton.com/quotes/quote_artwork/8036/medium/20250107_tuesday_quote.jpg,"Good friends are like stars. You don't always see them, but you know they're always there.",<Author:0x00007f0de2e3bb00>
FRIENDSHIP,/inspirational-quotes/7641-friends-are-medicine-for-a-wounded-heart-and,https://assets.passiton.com/quotes/quote_artwork/7641/medium/20250106_monday_quote.jpg,Friends are medicine for a wounded heart and vitamins for a hopeful soul.,<Author:0x00007f0de2e24e78>
COURAGE,/inspirational-quotes/3589-a-ship-in-port-is-safe-but-thats-not-what,https://assets.passiton.com/quotes/quote_artwork/3589/medium/20250103_friday_quote.jpg,"A ship in port is safe, but that's not what ships are built for.",<Author:0x00007f0de2e0e1f0>
COURAGE,/inspirational-quotes/7518-it-takes-courage-to-grow-up-and-become-who-you,https://assets.passiton.com/quotes/quote_artwork/7518/medium/20250102_thursday_quote.jpg,It takes courage to grow up and become who you really are.,<Author:0x00007f0de2e65540>
COURAGE,/inspirational-quotes/7299-life-shrinks-or-expands-in-proportion-to-ones,https://assets.passiton.com/quotes/quote_artwork/7299/medium/20250101_wednesday_quote.jpg,Life shrinks or expands in proportion to one's courage.,<Author:0x00007f0de2e4a6f0>
COURAGE,/inspirational-quotes/6234-it-takes-courage-for-people-to-listen-to-their,https://assets.passiton.com/quotes/quote_artwork/6234/medium/20241231_tuesday_quote.jpg,It takes courage for people to listen to their own goodness and act on it. ,<Author:0x00007f0de2e8f340>
COURAGE,/inspirational-quotes/8251-courage-doesn-t-mean-you-aren-t-afraid-courage,https://assets.passiton.com/quotes/quote_artwork/8251/medium/20241230_monday_quote.jpg,Courage doesn’t mean you aren’t afraid. Courage means you don’t let fear stop you. ,<Author:0x00007f0de2e7c2e0>
JOY,/inspirational-quotes/8439-we-are-shaped-by-our-thoughts-we-become-what,https://assets.passiton.com/quotes/quote_artwork/8439/medium/20241227_friday_quote.jpg,"We are shaped by our thoughts; we become what we think. When the mind is pure, joy follows like a shadow that never leaves.",<Author:0x00007f0de2ec4518>
JOY,/inspirational-quotes/8022-the-essence-of-life-is-not-in-the-great,https://assets.passiton.com/quotes/quote_artwork/8022/medium/20241226_thursday_quote_updated.jpg,"The essence of life is not in the great victories and grand failures, but in the simple joys.",<Author:0x00007f0de2eac6e8>
JOY,/inspirational-quotes/8407-the-joy-of-giving-is-the-greatest-joy-of-life,https://assets.passiton.com/quotes/quote_artwork/8407/medium/20241225_wednesday_quote.jpg,The joy of giving is the greatest joy of life.,<Author:0x00007f0de2ef4948>
JOY,/inspirational-quotes/7571-happiness-not-in-another-place-but-this,https://assets.passiton.com/quotes/quote_artwork/7571/medium/20241224_tuesday_quote.jpg,"Happiness—not in another place, but this place... not for another hour, but for this hour.",<Author:0x00007f0de2edd5e0>
JOY,/inspirational-quotes/7844-joy-is-the-kind-of-happiness-that-doesn-t,https://assets.passiton.com/quotes/quote_artwork/7844/medium/20241223_monday_quote.jpg,Joy is the kind of happiness that doesn’t depend on what happens.,<Author:0x00007f0de2f254a8>
CARING,/inspirational-quotes/7600-you-really-can-change-the-world-if-you-care,https://assets.passiton.com/quotes/quote_artwork/7600/medium/20241220_friday_quote.jpg,You really can change the world if you care enough.,<Author:0x00007f0de2f0df60>
CARING,/inspirational-quotes/3278-without-a-sense-of-caring-there-can-be-no,https://assets.passiton.com/quotes/quote_artwork/3278/medium/20241219_thursday_quote.jpg,"Without a sense of caring, there can be no sense of community.",<Author:0x00007f0de2f5e668>
CARING,/inspirational-quotes/7890-taking-care-of-yourself-doesnt-mean-me-first,https://assets.passiton.com/quotes/quote_artwork/7890/medium/20241218_wednesday_quote.jpg,"Taking care of yourself doesn't mean me first, it means me too.",<Author:0x00007f0de2f46270>
CARING,/inspirational-quotes/7599-the-simple-act-of-caring-is-heroic,https://assets.passiton.com/quotes/quote_artwork/7599/medium/20241217_tuesday_quote.jpg,The simple act of caring is heroic.,<Author:0x00007f0de2f8f498>
CARING,/inspirational-quotes/6582-have-a-heart-that-never-hardens-and-a-temper,https://assets.passiton.com/quotes/quote_artwork/6582/medium/20241216_monday_quote.jpg,"Have a heart that never hardens, and a temper that never tires, and a touch that never hurts.",<Author:0x00007f0de2f77d98>
